#Coverage (X)	Coverage
1.0	99.48515444408343
2.0	99.18375477206091
3.0	98.83070443317617
4.0	98.45158740260396
5.0	98.01222309197958
6.0	97.54915598082565
7.0	97.05750921260915
8.0	96.54811551377755
9.0	96.01354956856147
10.0	95.47419195207931
11.0	94.91644141670766
12.0	94.32969949548315
13.0	93.71366803997148
14.0	93.07954181400464
15.0	92.43292174888477
16.0	91.7327414471685
17.0	90.98678826200972
18.0	90.21306467982443
19.0	89.41685928593591
20.0	88.58007730988902
21.0	87.70550147040419
22.0	86.78596200751292
23.0	85.81876848653394
24.0	84.84145211633212
25.0	83.83916226536871
26.0	82.8180464704088
27.0	81.80180043320968
28.0	80.78044327999339
29.0	79.7418148139025
30.0	78.72031568524129
31.0	77.7520857435144
32.0	76.79774809907302
33.0	75.86053269328909
34.0	74.97148245719458
35.0	74.08788407818503
36.0	73.24323666248951
37.0	72.4320457603896
38.0	71.6659817534578
39.0	70.94397982585718
40.0	70.24158470720013
41.0	69.58540259586484
42.0	68.95594026326364
43.0	68.35074153419943
44.0	67.76580979989768
45.0	67.21346143020526
46.0	66.67731245877832
47.0	66.16807493293612
48.0	65.68334236888727
49.0	65.21165734822665
50.0	64.75018746082807
51.0	64.30146696838341
