#Position (bp)	Coverage
8410.5	137.9334720570749
25940.0	135.10148582707384
35139.0	25.433962264150942
46800.5	131.58349162493525
64409.5	130.91654222664675
73541.0	138.71895635368014
86802.5	121.6396081520134
101307.0	126.11213341000575
111325.0	135.00008817564589
126105.0	135.01388660189912
138043.5	138.80664545775892
146326.0	148.55514807004676
159916.5	134.72360820941378
172072.0	75.86611919870599
183025.0	90.07498738193092
198016.5	130.6866079185801
208691.0	32.77707736389685
217041.0	25.65931094635848
230462.0	123.15054952201339
242338.5	159.3628223495702
253024.5	119.77423822714681
267208.5	125.20426749934947
278319.5	26.51240875912409
286105.0	35.52906776745786
297798.0	140.76706443914082
311046.5	130.4291751183232
318362.0	128.66988210075027
327213.5	153.80743424584006
341820.5	111.73109713487072
350578.0	149.49110764430577
364359.5	130.8380819443304
381968.5	142.38913443830572
389192.5	134.12513935340021
398873.0	131.8882267165409
413622.5	130.24872504735538
421551.0	121.86719849835758
428518.0	131.56265356265357
445474.5	136.61067390321122
457182.0	117.01609195402298
464990.5	123.40120178870878
478858.5	61.89377234803337
489311.5	65.26797647687783
498435.5	105.63616942225525
511166.5	140.49727817093085
523392.5	129.09522345223453
531023.0	121.38328792007266
539961.5	129.9610410604591
554520.5	135.78675504598112
563191.0	71.38151260504202
569436.0	139.98982765868013
582155.5	126.93303307737743
593817.0	132.01820227017078
599917.5	129.23616845582163
608352.5	131.24107142857142
622626.5	138.5687234042553
631800.5	109.5677966101695
637821.0	144.262543308097
647767.5	138.58595041322315
660128.5	127.40104579305974
667791.0	84.3007769145394
673897.5	82.67150368033649
684317.5	131.8965578111209
696152.5	138.35267423014588
703341.5	114.30471050049067
709372.5	129.38756983240222
720480.5	132.76812664041995
733077.5	149.20527611136748
740011.5	84.83140877598153
746491.0	139.93682295542877
758147.5	59.58716577540107
769202.0	127.08972357424925
774721.5	57.906666666666666
782354.5	133.08924318602806
795324.5	129.08656688839616
805375.5	126.59862039232593
812305.5	136.39742470536885
820192.0	30.22527030649629
831535.0	136.61992170508918
841257.5	125.19710691823899
847250.5	124.8820614469772
858438.0	138.9313484922842
873038.0	119.95064911149986
879459.5	63.62159434914228
885689.5	82.2736209200229
896484.0	103.14382143821439
907363.0	143.21724429416736
914177.5	126.12776659959759
919461.0	123.43572841133816
928692.0	138.54803714259447
939470.5	43.79513108614232
947848.5	133.14697169190256
953633.0	121.61132350263972
961800.0	140.40863388986256
976303.0	131.6505917974126
985745.0	121.01947148817803
990929.0	137.26116696030678
1001077.0	130.57969381046303
1011549.0	129.13382538603477
1019010.0	124.7881081081081
1024038.0	116.21322040139937
1031972.0	193.6280540385168
1042282.0	130.14661691053718
1051957.0	137.55372531907932
1056893.0	103.73758865248227
1062613.0	123.21704704238472
1073627.0	128.08217479854778
1084244.0	125.52600342017905
1090486.5	135.7063679245283
1095744.5	130.91633216256898
1104631.0	137.62707886950312
1114595.5	56.270240916271725
1123318.0	127.25105917725844
1128214.5	93.51696284329564
1134288.5	119.98252688172043
1143875.0	125.9649510577834
1153507.5	126.26997132322819
1160292.0	88.18948751642576
1164981.5	99.46842482956585
1172729.5	79.10481757710139
1182397.0	142.88430893445235
1192239.5	136.71991822429908
1197394.0	23.405405405405407
1202420.5	133.55261581469648
1212011.5	96.62851843770456
1221267.5	124.86956986946288
1229285.5	138.53961136023915
1234272.0	144.1714894913189
1241130.5	147.78560475368985
1250994.0	120.08006026041106
1260532.5	126.3698896156991
1266636.5	130.2615511551155
1271225.0	141.95157707685473
1279139.5	60.272917584839135
1288260.0	132.57654118930714
1297353.0	87.43409821527547
1302465.0	130.79717373233584
1307059.0	127.95704445835942
1315651.5	121.52173913043478
1324724.5	134.0429242119383
1333741.0	135.95763178166612
1338290.5	17.083333333333332
1343042.0	116.90548941102097
1352167.0	182.21006964265328
1360903.5	113.1533165021804
1369381.5	72.3655666100461
1374025.0	93.60478468899521
1378908.0	112.44306845545236
1387890.0	111.77918424753868
1396839.5	132.87396025878004
1404944.0	96.8028597908116
1409378.0	128.3041825095057
1414351.0	140.63086548488008
1423181.5	113.28194905869324
1432008.0	133.10680737562333
1440129.0	140.14910093188084
1444416.5	120.98117154811716
1449187.5	124.36035406475658
1457771.0	125.74699918424426
1466335.5	128.25339260645765
1474883.0	137.71697671697672
1479251.0	55.026455026455025
1483584.0	131.51928748377964
1492111.0	133.25125335198788
1500977.5	190.2691131498471
1509837.0	130.56989372883336
1514246.5	68.8046875
1518476.5	130.09215017064847
1526991.5	59.218672105143895
1535728.0	134.35168266450793
1544269.5	115.3391417733523
1549040.0	33.961085972850675
1553428.0	124.15213140398905
1561436.5	130.5375029954469
1570681.5	126.05451498422713
1579979.0	125.31333569991718
1584507.5	131.03300330033002
1588624.5	131.11746198217094
1596746.0	110.16610562971562
1605219.0	129.68779258192293
1613519.0	134.48288789454588
1618841.0	41.80084210526316
1623144.0	133.0698122291767
1630373.5	53.38210986874088
1638631.0	125.07409195124895
1648116.5	147.51956196181206
1654352.5	93.20413870246085
1658461.0	130.8430549074506
1665766.0	132.54272093876054
1673904.5	137.1431571146245
1681958.0	146.7419797778055
1688214.0	99.12086203065985
1692321.0	59.105844330729866
1698243.0	92.6113639158775
1706502.5	180.4631616595136
1714859.5	109.21667067018977
1722352.5	136.33018018018018
1726348.5	215.42267267267266
1731064.5	102.0116049382716
1739424.5	125.14071925754061
1747690.0	113.98874984199216
1756273.0	123.6503511615343
1762339.0	105.81265206812652
1767793.0	121.77860789440916
1775764.0	124.39603084312982
1783708.0	151.27717186912372
1791624.5	101.10908859470469
1795835.5	110.93816254416961
1799726.5	141.43777716186253
1809029.5	84.8028972783143
1818627.5	127.19100691775557
1826527.0	112.21493807081195
1830930.0	133.61254612546125
1836757.5	133.15596753366538
1846018.0	142.14559187394192
1853650.5	110.29106248352228
1861231.5	72.14783526927138
1865787.0	134.1915309446254
1869850.5	74.1967536407767
1877755.5	131.9816663050553
1886220.5	133.38679979253112
1893868.5	117.63581223628692
1899716.5	111.00194552529183
1903833.5	125.19092673459485
1909652.0	131.85349301397207
1917173.0	126.72844426730437
1924875.0	139.98768566713215
1932565.0	140.07063841130216
1936653.5	12.047477744807122
1940392.5	107.4372427983539
1947561.0	77.41776184786937
1955055.5	54.65557939914163
1962489.0	142.29280798812576
1969201.5	181.3586631193881
1973161.0	67.54278215223097
1978018.5	128.60038412291934
1985629.5	130.33108472746898
1993014.0	130.80617099361152
2000495.5	134.6980015777018
2005862.5	118.22090792838874
2010034.0	123.64736337488016
2016401.5	136.88617021276596
2023872.5	127.54176771759633
2031471.5	135.4863683127572
2039002.0	95.78846945778999
2044049.5	211.7626334519573
2049080.5	121.07666850523994
2056326.0	134.25334991020858
2063974.5	137.68354430379748
2071709.0	130.0779921737957
2076638.5	67.74468954248366
2080235.5	81.93004635482512
2086256.0	130.9420150788211
2093572.5	122.24093758517307
2100841.5	117.91166666666666
2108033.5	125.56667594654789
2112353.0	127.0192439862543
2115957.5	139.26259993048313
2123322.5	119.10672905525847
2131480.0	150.90230276604441
2138757.5	132.57497228381374
2145332.0	72.50969155570537
2149107.5	87.45673671199012
2153646.0	134.70451803190775
2160898.0	123.17998580553584
2168001.5	48.634738899748676
2175152.5	142.8767507002801
2181119.5	135.05861493533584
2184687.5	127.3070025619129
2189549.0	111.69055683511719
2196804.0	201.3568522934493
2203873.0	131.03723783706664
2211144.5	104.58654101406955
2216823.0	133.3654198273607
2220311.5	132.55231452124286
2225389.5	128.54512996286775
2232361.5	103.19691731489485
2239363.5	42.63622203341829
2246465.5	134.96079529543545
2251994.5	121.83988764044943
2255454.0	139.2983682983683
2260447.0	118.25017900615781
2267396.0	130.00911062906724
2275308.5	140.02132435465768
2283413.0	119.91122071516646
2288116.5	36.51375711574953
2291539.5	35.54664415365133
2297355.0	124.84462498186566
2304264.0	125.85790613718412
2311168.5	141.64628123184195
2318069.5	134.32278115062158
2322958.5	154.71083916083916
2326375.0	108.5904857790083
2331805.0	47.7631770001452
2338685.0	130.0622726611378
2345553.5	109.29501748251748
2352377.5	137.62131485849056
2357688.0	93.54026583268178
2361335.5	130.13389242336612
2366474.0	136.01334506525885
2373272.0	138.85937730559243
2380302.5	34.58031301482702
2387347.0	24.785011021307863
2392787.0	111.06478527607362
2396172.0	117.94730983302412
2401906.0	125.93913142596604
2409673.0	150.0634521520485
2416557.0	100.08106179534751
2423437.5	137.13414273023395
2428428.5	142.31071871127634
2431802.5	120.140625
2436938.0	139.33950525848022
2443682.0	138.53673742021672
2452424.0	140.1632083372104
2461116.0	125.35648636432123
2464847.5	102.48547215496367
2469627.5	121.65994962216625
2477332.5	132.11369083283404
2484007.0	116.60887157200659
2490651.5	129.44074969770253
2497219.0	119.79245283018868
2500648.5	52.226470588235294
2504168.0	137.45394835050007
2510806.5	116.42459714198844
2517373.5	96.36470408785846
2524052.0	117.27143067196
2530710.0	132.95318495778972
2534832.0	123.36437246963563
2538095.0	134.98457369189077
2543925.0	134.95453883141482
2552926.0	161.11248765598347
2561791.5	80.02093446601941
