#Insert size (bp)	insert size
215.0	1.0
220.0	1.0
222.0	1.0
225.0	1.0
231.0	1.0
235.0	1.0
236.0	1.0
237.0	1.0
239.0	1.0
240.0	1.0
241.0	1.0
243.0	3.0
244.0	3.0
245.0	4.0
246.0	2.0
247.0	2.0
248.0	1.0
249.0	5.0
250.0	8.0
251.0	6.0
252.0	5.0
253.0	6.0
254.0	12.0
255.0	21.0
256.0	13.0
257.0	9.0
258.0	12.0
259.0	16.0
260.0	16.0
261.0	21.0
262.0	18.0
263.0	31.0
264.0	27.0
265.0	30.0
266.0	31.0
267.0	29.0
268.0	43.0
269.0	52.0
270.0	52.0
271.0	59.0
272.0	52.0
273.0	33.0
274.0	50.0
275.0	51.0
276.0	75.0
277.0	74.0
278.0	89.0
279.0	92.0
280.0	80.0
281.0	99.0
282.0	104.0
283.0	100.0
284.0	100.0
285.0	117.0
286.0	111.0
287.0	151.0
288.0	131.0
289.0	155.0
290.0	167.0
291.0	179.0
292.0	191.0
293.0	233.0
294.0	213.0
295.0	279.0
296.0	284.0
297.0	305.0
298.0	414.0
299.0	399.0
300.0	800.0
301.0	1678.0
302.0	2270.0
303.0	1843.0
304.0	1719.0
305.0	1759.0
306.0	1716.0
307.0	1807.0
308.0	1785.0
309.0	1863.0
310.0	1855.0
311.0	1905.0
312.0	1780.0
313.0	1875.0
314.0	1910.0
315.0	1852.0
316.0	1894.0
317.0	1995.0
318.0	1997.0
319.0	1901.0
320.0	1906.0
321.0	1998.0
322.0	2059.0
323.0	1956.0
324.0	2091.0
325.0	2092.0
326.0	2070.0
327.0	2145.0
328.0	2079.0
329.0	2145.0
330.0	2147.0
331.0	2082.0
332.0	2149.0
333.0	2130.0
334.0	2211.0
335.0	2247.0
336.0	2214.0
337.0	2169.0
338.0	2185.0
339.0	2251.0
340.0	2293.0
341.0	2404.0
342.0	2466.0
343.0	2375.0
344.0	2445.0
345.0	2340.0
346.0	2289.0
347.0	2507.0
348.0	2401.0
349.0	2454.0
350.0	2480.0
351.0	2395.0
352.0	2573.0
353.0	2532.0
354.0	2634.0
355.0	2628.0
356.0	2644.0
357.0	2638.0
358.0	2650.0
359.0	2743.0
360.0	2783.0
361.0	2626.0
362.0	2672.0
363.0	2793.0
364.0	2725.0
365.0	2860.0
366.0	2753.0
367.0	2816.0
368.0	2774.0
369.0	2843.0
370.0	2943.0
371.0	2915.0
372.0	3029.0
373.0	3054.0
374.0	2925.0
375.0	2914.0
376.0	2976.0
377.0	3075.0
378.0	3175.0
379.0	3180.0
380.0	3171.0
381.0	3200.0
382.0	3203.0
383.0	3303.0
384.0	3356.0
385.0	3325.0
386.0	3334.0
387.0	3438.0
388.0	3340.0
389.0	3369.0
390.0	3451.0
391.0	3435.0
392.0	3514.0
393.0	3476.0
394.0	3569.0
395.0	3500.0
396.0	3478.0
397.0	3693.0
398.0	3707.0
399.0	3649.0
400.0	3653.0
401.0	3761.0
402.0	3682.0
403.0	3681.0
404.0	3671.0
405.0	3702.0
406.0	3748.0
407.0	3832.0
408.0	3843.0
409.0	3859.0
410.0	3883.0
411.0	3795.0
412.0	3936.0
413.0	4058.0
414.0	4022.0
415.0	3933.0
416.0	3982.0
417.0	4222.0
418.0	4005.0
419.0	4058.0
420.0	4092.0
421.0	4198.0
422.0	4017.0
423.0	4058.0
424.0	4145.0
425.0	4236.0
426.0	4259.0
427.0	4205.0
428.0	4358.0
429.0	4253.0
430.0	4313.0
431.0	4300.0
432.0	4332.0
433.0	4335.0
434.0	4457.0
435.0	4441.0
436.0	4392.0
437.0	4571.0
438.0	4478.0
439.0	4423.0
440.0	4444.0
441.0	4683.0
442.0	4653.0
443.0	4552.0
444.0	4663.0
445.0	4615.0
446.0	4723.0
447.0	4739.0
448.0	4659.0
449.0	4592.0
450.0	4678.0
451.0	4719.0
452.0	4620.0
453.0	4574.0
454.0	4784.0
455.0	5019.0
456.0	4656.0
457.0	4946.0
458.0	4873.0
459.0	4813.0
460.0	4928.0
461.0	4922.0
462.0	5022.0
463.0	4977.0
464.0	4997.0
465.0	4847.0
466.0	5043.0
467.0	5139.0
468.0	5003.0
469.0	4976.0
470.0	5147.0
471.0	5428.0
472.0	5186.0
473.0	5343.0
474.0	5085.0
475.0	5407.0
476.0	4983.0
477.0	5156.0
478.0	4912.0
479.0	5301.0
480.0	5317.0
481.0	5239.0
482.0	5361.0
483.0	5168.0
484.0	4962.0
485.0	5333.0
486.0	5247.0
487.0	5235.0
488.0	5322.0
489.0	5310.0
490.0	5385.0
491.0	5287.0
492.0	5217.0
493.0	5467.0
494.0	5208.0
495.0	5230.0
496.0	5360.0
497.0	5168.0
498.0	5532.0
499.0	5366.0
500.0	5417.0
501.0	5406.0
502.0	5335.0
503.0	5401.0
504.0	5323.0
505.0	5568.0
506.0	5487.0
507.0	5268.0
508.0	5415.0
509.0	5434.0
