#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	7.201331958359018E-7
6.0	1.4402663916718036E-6
7.0	0.0
8.0	3.6006659791795088E-6
9.0	7.921465154194919E-6
10.0	2.1603995875077056E-6
11.0	4.320799175015411E-6
12.0	9.361731545866722E-6
13.0	7.92146515419492E-6
14.0	2.520466185425656E-5
15.0	3.7446926183466896E-5
16.0	3.888719257513869E-5
17.0	5.617038927520034E-5
18.0	8.353545071696461E-5
19.0	1.90835296896514E-4
20.0	3.5286526595959186E-4
21.0	7.417371917109788E-4
22.0	0.001518760910017917
23.0	0.0031541833977612502
24.0	0.005653765720507665
25.0	0.011063406287626958
26.0	0.014318408332805234
27.0	0.02307378772777813
28.0	0.03192782537058054
29.0	0.04177996762281151
30.0	0.053246648500106575
31.0	0.06383908767765686
32.0	0.06908453787612556
33.0	0.06834640135039377
34.0	0.06751392737600746
35.0	0.0660261321934105
36.0	0.06373610863065232
37.0	0.06029819275373173
38.0	0.056568622932497585
39.0	0.05286065710713853
40.0	0.0486997275015987
41.0	0.04387915588867316
42.0	0.038422706663824545
43.0	0.031011815945477278
44.0	0.024078373535969214
45.0	0.017794491269105137
46.0	0.012610252392282476
47.0	0.008520615973130391
48.0	0.005745222636378826
49.0	0.003815985804734444
50.0	0.0024578145973879325
51.0	0.0017643263297979596
52.0	9.901831442743648E-4
53.0	8.893644968573387E-4
54.0	7.381365257317994E-4
55.0	6.531608086231631E-4
56.0	5.94830019760455E-4
57.0	4.961717719309364E-4
58.0	3.679880630721458E-4
59.0	3.0317607544691467E-4
60.0	2.073983604007397E-4
61.0	1.3034410844629823E-4
62.0	8.64159835003082E-5
63.0	3.7446926183466896E-5
64.0	4.6088524533497715E-5
65.0	2.7365061441764267E-5
66.0	2.3044262266748857E-5
67.0	1.6563063504225743E-5
68.0	4.32079917501541E-6
69.0	2.880532783343607E-6
70.0	7.201331958359018E-7
71.0	0.0
72.0	1.4402663916718036E-6
73.0	7.201331958359018E-7
74.0	7.201331958359018E-7
75.0	1.4402663916718036E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	7.201331958359018E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.320799175015411E-6
