#Position (bp)	insert size
14238.0	573.8492727272727
34467.5	585.234934086629
48705.0	578.6251668891856
71188.0	584.650728427344
86054.5	527.6296296296297
100292.0	587.2356700232378
121615.5	584.3868255080589
135853.0	588.5038352846185
156613.0	586.1364132411786
173324.0	571.0312109862672
187561.5	583.3518821603928
211401.0	588.3730247050968
225638.5	578.8454706927176
242038.0	582.2712826333711
266726.0	578.0758280865042
280963.5	567.1276332094176
298988.0	583.6089432609155
320661.5	586.9572763684913
334899.0	591.7246590490232
355938.0	577.380404685836
378632.5	575.0452306314376
392870.0	564.0279375513558
412585.5	580.8458788898233
426823.0	605.5987654320987
441363.0	587.7837104072398
460101.0	574.5221300138313
474338.5	565.7513189448441
493035.5	581.1468450130852
507273.0	578.7330210772834
524591.5	580.195991091314
538829.0	584.7649363369246
555263.0	584.4274985557481
570103.0	461.2
584340.5	583.876117268502
601922.5	582.2440381558029
616160.0	586.8652922903135
633008.0	573.0483543275092
647245.5	586.9913393133313
663944.0	581.5726752934096
678181.5	570.302110817942
697532.0	583.560844600852
711769.5	547.8518518518518
726113.0	570.1303387334315
742658.0	568.6054421768707
756895.5	583.8195488721805
773098.0	563.042026482441
787335.5	587.0186299799369
807604.0	584.1417974322396
821841.5	567.6692506459948
838909.0	586.1000216966804
853146.5	620.2435020519836
868488.0	589.0428398687166
883450.0	525.6206896551724
897687.5	586.171389486027
913382.5	574.37147102526
927620.0	585.8976664525798
942970.0	571.567213114754
957207.5	583.9141055949567
973580.5	578.104578858112
987818.0	589.0733758700696
1003578.0	579.0364406779661
1017815.5	583.2826666666666
1032869.0	574.1338143653657
1047106.5	583.1949119373777
1062736.0	579.4126322539275
1076973.5	588.5895027624309
1091933.0	578.0486610058786
1106170.5	583.0152317880795
1120776.5	583.0800933125972
1135014.0	581.1173062997827
1149573.0	581.2688356164383
1163810.5	583.2015267175573
1177853.5	581.3299001248439
1192091.0	576.5150669642857
1206407.0	581.5443907402697
1220644.5	581.7664233576643
1234281.5	585.9125742039935
1248519.0	589.3818503241014
1263172.0	577.2433285509326
1277409.5	578.5928718300206
1292710.5	585.6130096629743
1306948.0	584.7378190255221
1320767.5	581.7718230751228
1335005.0	599.0132827324478
1348624.0	581.7388001047943
1362861.5	575.566763425254
1378451.5	579.9430663831798
1392689.0	588.9070450097847
1406135.0	587.0021593090211
1420372.5	580.6548100242522
1433683.0	577.049518958687
1447920.5	578.8480424684805
1462573.0	586.2457415398592
1476810.5	580.9510676156584
1490088.5	578.6355851569933
1504326.0	577.5462427745665
1517803.5	585.5826851538721
1532041.0	574.544434470377
1545849.0	580.7921061585573
1560086.5	585.4748877092691
1572904.5	578.0904003443823
1587142.0	583.6767676767677
1601038.5	574.2951642335767
1615276.0	581.0054545454545
1627854.0	583.2620035566093
1642091.5	581.9865162355532
1655938.5	591.1118500604595
1670176.0	585.8130587916554
1684475.0	590.6631853785901
1698712.5	578.4943904263276
1722738.0	586.9723915381858
1751213.0	585.8550891316848
1771613.5	584.4959928762244
1785851.0	587.2843373493976
1798543.0	582.0105078809107
1812780.5	586.1259409380428
1825831.0	575.2996688741722
1840068.5	583.0444708680143
1852299.5	572.9484978540772
1866537.0	585.8341044282881
1881784.0	569.9885931558936
1895852.0	580.4670421360033
1907656.0	602.1111111111111
1919484.5	578.113606340819
1933722.0	589.46088794926
1946647.0	581.7339782345829
1960884.5	587.3861031518625
1973372.5	585.3779869659667
1987610.0	583.1811201445348
2000901.5	576.9480122324159
2015139.0	577.3111984282908
2026666.0	583.9669703872437
2040903.5	587.7820475212673
2052315.5	581.9420289855072
2065726.5	575.0782715042805
2077849.0	553.7545126353791
2089880.5	578.7422649444278
2104118.0	576.7751371115173
2115760.0	584.7325038880249
2129997.5	586.0242100943783
2140858.5	577.0878873239436
2155096.0	584.7033805888768
2166264.0	550.9038076152304
2179242.0	580.4713688867043
2191316.0	565.8491379310345
2202646.0	583.7822045152723
2216883.5	586.631186440678
2228406.5	584.8337384540594
2242644.0	570.6529134998191
2255249.0	580.544328875681
2269486.5	588.1035658914728
2280590.0	572.3339472068753
2294062.0	580.1117274167988
2305710.0	574.1682242990654
2316420.5	581.5870804306523
2330658.0	585.6213890596189
2341236.5	578.5627147766323
2355474.0	582.1369716425896
2367604.0	583.1712737127372
2381841.5	585.9379310344827
2392555.5	537.4055944055945
2403727.0	584.7290707125441
2417309.5	580.6236003445306
2427762.0	574.506671899529
2441999.5	580.9714285714285
2452517.0	578.6565055762081
2466551.5	582.8311555213938
2477122.5	588.9418604651163
2487789.5	580.3436477238916
2502027.0	559.3400702987698
2513153.0	579.3941524796447
2527390.5	580.969288389513
2537735.0	575.6036960985626
2551497.5	581.1710967741935
2562275.5	631.6716417910447
2573019.0	578.723967350977
2587256.5	585.8192505510654
2597931.0	589.9487632508834
2612168.5	576.5445977785257
2622667.5	573.2799325463743
2635566.0	580.4753568542957
2646836.5	570.8376068376068
2657246.0	586.1930246542394
2671483.5	564.682006442706
2681835.0	570.8878101402373
2696072.5	579.0209288990826
2706127.5	509.4188790560472
2717007.0	579.5510257759074
2730242.5	579.331987075929
2740095.0	580.8752220248667
2754332.5	578.4137123745819
2764081.0	574.253499222395
2775919.0	583.648401826484
2788151.0	584.9350649350649
2800174.5	579.0975015234613
2814412.0	566.6267447095903
2825587.0	573.1431201104464
2839824.5	578.3150976909413
2849873.0	561.4066587395957
2862522.0	594.2448675989289
2874387.0	590.9744990892532
2884228.0	592.2611245256985
2898465.5	582.3232642019838
2908149.0	574.4706814580031
2921394.5	584.9939957970579
2931933.5	597.9582089552239
2941926.5	586.9996591683708
2956164.0	565.7665859564165
2965662.0	583.3041775456919
2979711.0	578.093839132915
2989687.0	589.0649350649351
2999441.5	585.4348767939344
3013679.0	580.5897291196388
3023452.0	587.3492315845257
3037689.5	581.9864043968759
3047305.0	516.5483870967741
3057008.0	582.959479015919
3070766.0	580.7684268426842
3079861.5	581.5921052631579
3093776.0	582.0450601735237
3103452.5	564.9652777777778
3112782.0	585.8764115432873
3127019.5	581.445856873823
3136409.0	576.804255319149
3149644.5	581.2016971279373
3159723.5	604.8035714285714
3168761.5	576.8722826086956
3182999.0	584.1426124197002
3192348.0	582.2295869356388
3204424.5	588.5511540860886
3215514.5	578.4649532710281
3224853.5	582.1723716381418
3239091.0	590.9802775748722
3247970.5	590.9284369114878
3259194.0	567.9169685149067
3271611.5	582.3472222222222
3280684.0	588.988188976378
3294921.5	580.6835005188516
3303807.5	563.1923076923077
3313951.0	566.3947643979058
3327481.5	587.4
3336102.0	584.7917414721724
3349987.5	579.6434654919236
3359698.5	569.2411764705882
3368463.0	568.1326496857426
3382700.5	578.7474844274078
3391637.0	568.8190262652146
3403555.0	577.5066465256798
3414681.0	594.0252100840336
3423672.5	578.2783127005961
3437910.0	577.5583388266315
3446890.0	516.1448598130842
3456879.0	577.3625311720698
3469702.0	586.7555135475741
3478246.0	575.8383900928793
3491348.0	565.8559492941515
3501290.0	561.74
3510950.5	585.4646404449742
3525188.0	585.6633211678832
3533930.0	577.6281553398059
3545330.5	581.2297800338409
3556538.5	582.3727699530516
3564561.0	585.3770907247846
3578315.0	590.7828427853553
3587367.0	553.45
3595963.5	592.193588937775
3610201.0	578.0870552611658
3618778.0	566.3582375478927
3629277.5	576.9946657183499
3641062.5	585.268758526603
3649059.0	586.8214507129572
3661088.0	584.1727823298895
3671067.0	574.5932666060055
3679930.5	577.0870185449359
