#Mapping quality	mapping quality
0.0	46364.0
1.0	54642.0
2.0	73984.0
3.0	63995.0
4.0	65147.0
5.0	66823.0
6.0	73317.0
7.0	75361.0
8.0	78519.0
9.0	76394.0
10.0	74722.0
11.0	74155.0
12.0	76380.0
13.0	77066.0
14.0	77491.0
15.0	78257.0
16.0	80089.0
17.0	81318.0
18.0	81608.0
19.0	82601.0
20.0	84566.0
21.0	91576.0
22.0	91394.0
23.0	101726.0
24.0	103423.0
25.0	100729.0
26.0	104802.0
27.0	107043.0
28.0	114718.0
29.0	119612.0
30.0	129113.0
31.0	138011.0
32.0	147265.0
33.0	160431.0
34.0	183602.0
35.0	213927.0
36.0	255428.0
37.0	317514.0
38.0	420115.0
39.0	655468.0
40.0	1566859.0
41.0	4394327.0
42.0	216470.0
