#Insert size (bp)	insert size
601.0	4357.0
602.0	4367.0
603.0	4311.0
604.0	4255.0
605.0	4180.0
606.0	4056.0
607.0	4230.0
608.0	4307.0
609.0	4119.0
610.0	4116.0
611.0	4216.0
612.0	3951.0
613.0	4051.0
614.0	4181.0
615.0	3976.0
616.0	3934.0
617.0	3952.0
618.0	3941.0
619.0	3784.0
620.0	3951.0
621.0	3893.0
622.0	3934.0
623.0	4003.0
624.0	3875.0
625.0	3871.0
626.0	3682.0
627.0	3808.0
628.0	3645.0
629.0	3718.0
630.0	3727.0
631.0	3713.0
632.0	3562.0
633.0	3670.0
634.0	3542.0
635.0	3729.0
636.0	3615.0
637.0	3514.0
638.0	3635.0
639.0	3472.0
640.0	3706.0
641.0	3434.0
642.0	3421.0
643.0	3550.0
644.0	3482.0
645.0	3534.0
646.0	3433.0
647.0	3534.0
648.0	3406.0
649.0	3414.0
650.0	3450.0
651.0	3421.0
652.0	3308.0
653.0	3550.0
654.0	3308.0
655.0	3379.0
656.0	3317.0
657.0	3371.0
658.0	3244.0
659.0	3312.0
660.0	3270.0
661.0	3246.0
662.0	3231.0
663.0	3200.0
664.0	3161.0
665.0	3335.0
666.0	3123.0
667.0	3230.0
668.0	3102.0
669.0	3292.0
670.0	3059.0
671.0	3071.0
672.0	2916.0
673.0	3008.0
674.0	3023.0
675.0	2951.0
676.0	2960.0
677.0	2966.0
678.0	3009.0
679.0	2959.0
680.0	2975.0
681.0	2936.0
682.0	2938.0
683.0	2859.0
684.0	2850.0
685.0	2877.0
686.0	2861.0
687.0	2687.0
688.0	2808.0
689.0	2741.0
690.0	2616.0
691.0	2580.0
692.0	2698.0
693.0	2743.0
694.0	2681.0
695.0	2614.0
696.0	2537.0
697.0	2627.0
698.0	2682.0
699.0	2554.0
700.0	2608.0
701.0	2649.0
702.0	2626.0
703.0	2560.0
704.0	2535.0
705.0	2657.0
706.0	2459.0
707.0	2484.0
708.0	2412.0
709.0	2391.0
710.0	2511.0
711.0	2376.0
712.0	2364.0
713.0	2458.0
714.0	2414.0
715.0	2383.0
716.0	2307.0
717.0	2388.0
718.0	2274.0
719.0	2328.0
720.0	2361.0
721.0	2254.0
722.0	2334.0
723.0	2317.0
724.0	2248.0
725.0	2363.0
726.0	2241.0
727.0	2201.0
728.0	2308.0
729.0	2122.0
730.0	2361.0
731.0	2229.0
732.0	2179.0
733.0	2087.0
734.0	2073.0
735.0	2192.0
736.0	2181.0
737.0	2024.0
738.0	2089.0
739.0	1980.0
740.0	2082.0
741.0	2058.0
742.0	2017.0
743.0	2001.0
744.0	2063.0
745.0	2029.0
746.0	2028.0
747.0	2041.0
748.0	1931.0
749.0	1994.0
750.0	1872.0
751.0	1898.0
752.0	1869.0
753.0	1954.0
754.0	2003.0
755.0	1982.0
756.0	1854.0
757.0	2043.0
758.0	1873.0
759.0	1878.0
760.0	1839.0
761.0	1808.0
762.0	1836.0
763.0	1897.0
764.0	1773.0
765.0	1780.0
766.0	1795.0
767.0	1700.0
768.0	1713.0
769.0	1781.0
770.0	1795.0
771.0	1782.0
772.0	1725.0
773.0	1694.0
774.0	1767.0
775.0	1712.0
776.0	1727.0
777.0	1752.0
778.0	1642.0
779.0	1638.0
780.0	1740.0
781.0	1601.0
782.0	1607.0
783.0	1679.0
784.0	1585.0
785.0	1604.0
786.0	1516.0
787.0	1534.0
788.0	1634.0
789.0	1536.0
790.0	1572.0
791.0	1576.0
792.0	1485.0
793.0	1487.0
794.0	1513.0
795.0	1557.0
796.0	1467.0
797.0	1541.0
798.0	1480.0
799.0	1477.0
800.0	1445.0
801.0	1428.0
802.0	1405.0
803.0	1416.0
804.0	1378.0
805.0	1434.0
806.0	1324.0
807.0	1323.0
808.0	1292.0
809.0	1372.0
810.0	1358.0
811.0	1417.0
812.0	1362.0
813.0	1371.0
814.0	1343.0
