#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	7.824952678598676E-7
7.0	0.0
8.0	0.0
9.0	0.0
10.0	7.824952678598676E-7
11.0	7.824952678598676E-7
12.0	1.5649905357197352E-6
13.0	2.347485803579603E-6
14.0	1.4084914821477617E-5
15.0	2.1909867500076293E-5
16.0	2.66048391072355E-5
17.0	5.320967821447099E-5
18.0	7.903202205384663E-5
19.0	1.9171134062566755E-4
20.0	3.552528516083798E-4
21.0	7.535429429490524E-4
22.0	0.001625242671344945
23.0	0.0033741195950117487
24.0	0.005898449329127682
25.0	0.0113516588508431
26.0	0.01483924025969453
27.0	0.023445905710885215
28.0	0.031452397291627375
29.0	0.041003534531124916
30.0	0.05169320238535858
31.0	0.06238052275378865
32.0	0.06641819833594556
33.0	0.06774374531970016
34.0	0.0678407747329148
35.0	0.06703636959755485
36.0	0.06472800855736825
37.0	0.06174435410101858
38.0	0.0587646121210082
39.0	0.05354536868438288
40.0	0.048032689522310115
41.0	0.04302471980800696
42.0	0.03769044956700625
43.0	0.030682421948053266
44.0	0.023298014105259696
45.0	0.017518504056846716
46.0	0.01258956636459741
47.0	0.00851824348592252
48.0	0.005765425133591505
49.0	0.0038443992509955296
50.0	0.0026526589580449507
51.0	0.0020368351822392357
52.0	0.0012441674758971895
53.0	0.0011565280058968845
54.0	9.554267220568984E-4
55.0	6.807708830380848E-4
56.0	5.38356744287589E-4
57.0	5.712215455377033E-4
58.0	3.5760033741195945E-4
59.0	2.519634762508774E-4
60.0	2.1362120812574387E-4
61.0	1.7058396839345115E-4
62.0	1.5493406303625378E-4
63.0	1.3928415767905643E-4
64.0	1.3615417660761694E-4
65.0	1.4867410089337485E-4
66.0	1.6275901571485247E-4
67.0	1.6275901571485247E-4
68.0	1.7058396839345115E-4
69.0	1.877988642863682E-4
70.0	1.619765204469926E-4
71.0	1.424141387504959E-4
72.0	7.668453625026704E-5
73.0	5.946964035734993E-5
74.0	5.164468767875127E-5
75.0	3.36472965179743E-5
76.0	1.1737429017898014E-5
77.0	9.389943214318411E-6
78.0	4.694971607159206E-6
79.0	7.824952678598676E-7
80.0	1.5649905357197352E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.5649905357197352E-6
