#Position (bp)	mapping quality
14238.0	41.157114430917396
34467.5	41.01062106548634
48705.0	41.08565461189749
71188.0	40.81769525672671
86054.5	35.9116379097734
100292.0	41.02442460414038
121615.5	41.05044960109768
135853.0	40.16544306071011
156613.0	40.15239782299579
173324.0	40.21450291644071
187561.5	40.56650927851244
211401.0	40.15029746271367
225638.5	39.23016797978296
242038.0	40.01624516558606
266726.0	40.262194954910456
280963.5	34.01263845112365
298988.0	39.1379972588058
320661.5	40.40652069492193
334899.0	41.027104616192474
355938.0	40.18197236631485
378632.5	33.0053590262337
392870.0	37.57298587021576
412585.5	38.33190814723648
426823.0	37.281352914997775
441363.0	37.790341876082486
460101.0	36.92535117282353
474338.5	33.56368222703211
493035.5	38.336949499628226
507273.0	38.72116984257019
524591.5	38.34928884176712
538829.0	22.741188159561673
555263.0	39.744835330154025
570103.0	2.050027305351849
584340.5	37.24473695003265
601922.5	39.94488478978888
616160.0	39.359755897197246
633008.0	40.24145662599577
647245.5	38.11136017488307
663944.0	39.42255645949474
678181.5	37.10480486041912
697532.0	39.703526908311886
711769.5	13.35133508837909
726113.0	39.74606470535831
742658.0	35.714057949794196
756895.5	39.95425514777174
773098.0	34.39031428312246
787335.5	37.14136609397787
807604.0	40.01296757951399
821841.5	41.134717409100496
838909.0	39.25378071158716
853146.5	31.764167396204563
868488.0	30.50511806890106
883450.0	39.00088012115542
897687.5	40.762136083711894
913382.5	40.47312527595101
927620.0	40.737988023879005
942970.0	39.7875773501476
957207.5	40.92413053434086
973580.5	38.52346920716563
987818.0	38.834676119736024
1003578.0	38.32292342186094
1017815.5	39.745713071126026
1032869.0	39.90290577418793
1047106.5	40.04066646434908
1062736.0	38.397782276063644
1076973.5	39.82656556294213
1091933.0	39.48112801282156
1106170.5	40.89052019879349
1120776.5	38.59267241466065
1135014.0	40.514513231905845
1149573.0	41.04023338393529
1163810.5	40.93202851510828
1177853.5	39.26915400894747
1192091.0	37.87242900094182
1206407.0	40.926148694539656
1220644.5	39.909677419354836
1234281.5	40.517484987783675
1248519.0	33.93707938619196
1263172.0	40.39803062397337
1277409.5	40.782126485379855
1292710.5	40.960861149664396
1306948.0	41.23725412601533
1320767.5	40.37538890227804
1335005.0	40.61104732845215
1348624.0	41.20992813986206
1362861.5	37.27791798898373
1378451.5	37.51826652401085
1392689.0	41.00503109923649
1406135.0	40.66756277828539
1420372.5	40.72214946852003
1433683.0	40.91796982094563
1447920.5	39.192395753689
1462573.0	33.024251956574744
1476810.5	31.228817743663978
1490088.5	38.69664076235955
1504326.0	39.988051657842846
1517803.5	40.29208104117212
1532041.0	40.870186667971666
1545849.0	40.79815797532789
1560086.5	39.40835445350288
1572904.5	40.73376740130958
1587142.0	40.919458820542594
1601038.5	36.58360664260983
1615276.0	37.1715552277103
1627854.0	41.20887097642083
1642091.5	38.93572867465453
1655938.5	37.21399435096175
1670176.0	39.32541296146252
1684475.0	33.213143367078096
1698712.5	39.88558293232358
1722738.0	40.14982416086806
1751213.0	40.06821173899086
1771613.5	40.94950937953891
1785851.0	40.797028145695364
1798543.0	40.86219896643539
1812780.5	40.243286540810914
1825831.0	41.358023227521265
1840068.5	40.580471978795984
1852299.5	41.086184722278176
1866537.0	37.89669097767439
1881784.0	26.273375753653863
1895852.0	41.338339057185316
1907656.0	38.55932937148255
1919484.5	40.53312514692836
1933722.0	40.2704360125024
1946647.0	40.924631381072665
1960884.5	39.46167755906171
1973372.5	40.61161627008819
1987610.0	40.62932615255779
2000901.5	40.17629185996788
2015139.0	40.95502666703424
2026666.0	41.021337629267784
2040903.5	40.36496066717439
2052315.5	41.16813858695652
2065726.5	35.407064232767794
2077849.0	28.919671652364116
2089880.5	37.7134251953784
2104118.0	36.43847796965058
2115760.0	40.609919487442546
2129997.5	37.76873013692601
2140858.5	40.8075390659344
2155096.0	39.228163715673794
2166264.0	40.452334563031336
2179242.0	38.80753643063304
2191316.0	21.153294371673688
2202646.0	35.12151727659186
2216883.5	40.17312944848835
2228406.5	37.53334699327778
2242644.0	38.25106795280572
2255249.0	40.68351675573729
2269486.5	41.061624958604234
2280590.0	24.698395934256286
2294062.0	37.88466218183737
2305710.0	41.004301708898055
2316420.5	40.298033166853344
2330658.0	41.030097626126754
2341236.5	41.169263595308735
2355474.0	38.27038928331071
2367604.0	30.897757072140852
2381841.5	40.61005542585687
2392555.5	40.75593245555308
2403727.0	41.163760472984194
2417309.5	40.8650063175473
2427762.0	41.03135367970059
2441999.5	40.44974040431161
2452517.0	39.84990003348906
2466551.5	40.35508345252273
2477122.5	37.889092033447156
2487789.5	39.56057572196947
2502027.0	32.480248274714356
2513153.0	39.716104876955875
2527390.5	40.616622479770605
2537735.0	40.44456149591783
2551497.5	41.007433325782735
2562275.5	39.83333974568609
2573019.0	38.326300732097174
2587256.5	38.978090521889335
2597931.0	40.838515006629436
2612168.5	39.09042112977877
2622667.5	34.2413751165064
2635566.0	39.93442762363704
2646836.5	40.028230795992954
2657246.0	40.9175639082555
2671483.5	37.16690488565489
2681835.0	35.87480640585142
2696072.5	40.56467398583257
2706127.5	28.270304613513595
2717007.0	40.87837565639197
2730242.5	41.11637778746964
2740095.0	39.848959875989735
2754332.5	40.902196402477664
2764081.0	37.026584529955315
2775919.0	39.07887157694913
2788151.0	29.54822040779502
2800174.5	40.73969901391517
2814412.0	24.107552408640117
2825587.0	37.08997273986451
2839824.5	40.80674595514074
2849873.0	39.36697648819781
2862522.0	38.36182524787095
2874387.0	38.63322982013714
2884228.0	35.6095398843209
2898465.5	40.820662712465236
2908149.0	40.82532741924009
2921394.5	41.27309505649566
2931933.5	36.59677764546417
2941926.5	39.37050319937831
2956164.0	36.72480853474116
2965662.0	39.02839605037438
2979711.0	37.3202207838669
2989687.0	38.47521446788778
2999441.5	39.70217603010497
3013679.0	38.866213709426894
3023452.0	40.57400921497549
3037689.5	38.35563834026647
3047305.0	38.49310950566579
3057008.0	39.47146671963878
3070766.0	39.677629910952206
3079861.5	35.15439243881535
3093776.0	41.20367170109809
3103452.5	27.791309949054284
3112782.0	40.861605102311984
3127019.5	41.28684607597544
3136409.0	38.791571843042036
3149644.5	40.869190560242664
3159723.5	34.793845093434086
3168761.5	39.65907828576579
3182999.0	41.0343128730432
3192348.0	38.39042824074074
3204424.5	39.697472494563506
3215514.5	37.452323445747695
3224853.5	41.2664682193579
3239091.0	40.23735183835942
3247970.5	39.97592561328779
3259194.0	36.56803826839045
3271611.5	40.44752618340537
3280684.0	37.80538832572116
3294921.5	37.47751298643384
3303807.5	40.02882484868137
3313951.0	39.26493918647584
3327481.5	38.60992370839079
3336102.0	40.72564262491121
3349987.5	32.455727923155024
3359698.5	40.7482737403432
3368463.0	36.0309981270347
3382700.5	40.93449611893833
3391637.0	31.267841381198675
3403555.0	39.44778322451753
3414681.0	35.31314323332105
3423672.5	37.59955003698101
3437910.0	41.26774321583317
3446890.0	20.844606728439665
3456879.0	39.06603457609428
3469702.0	38.80630286060676
3478246.0	41.13144964399906
3491348.0	35.12265066012035
3501290.0	37.047311308695285
3510950.5	25.113028490911304
3525188.0	34.341682172152495
3533930.0	39.15909374259319
3545330.5	40.506129990177676
3556538.5	31.177184462343853
3564561.0	40.74549982782754
3578315.0	37.02238958342158
3587367.0	38.33035525107705
3595963.5	38.61406470549744
3610201.0	39.93678767902323
3618778.0	37.30590963235968
3629277.5	40.86816771868049
3641062.5	38.14007906943863
3649059.0	40.283942620723884
3661088.0	40.760761724925935
3671067.0	25.992352157656622
3679930.5	38.58997789939665
3694168.0	38.824666558960274
3702636.5	28.547591700476783
3712096.5	34.962807714594696
3725448.0	40.846338701422226
3733267.5	41.279583323920605
3743902.0	40.039466982816144
3755097.5	40.56537837044304
3762770.0	38.830342134438574
3774426.5	39.78159358979146
3784594.5	40.73856670327706
3792100.0	40.458363190219096
3804514.0	39.64197268441363
3813827.0	36.06760581971781
3821351.5	41.1070774398445
3834722.0	38.692708311203184
3843258.5	40.167783022599615
3851110.5	40.72133214555854
3865348.0	40.67438342630026
3872824.5	34.71410891089109
3880451.5	40.37485577093049
3894465.0	36.77472949154167
3901840.0	38.841340753435645
3910612.5	38.35089197069143
3924085.5	41.13494408957669
3931442.0	41.451064372095566
3940577.0	41.11835502251531
3952923.0	41.08018360804378
3960493.0	41.05548894272146
3970194.0	40.3398168364028
3981964.0	41.268502404203154
3989180.0	40.351246698891
4000061.0	40.249988105753296
4011619.0	38.73761391163917
4018801.5	40.95161686830503
4030166.5	37.55843804623169
4040578.0	36.11631936127745
4047647.5	40.333309036484145
4059209.5	31.701852462221726
4069250.0	40.696751278486865
4076384.5	39.79661316657077
